# Dicionario de Abreviaturas — IR 14-06, Art. 32 a 35
# Fonte: MD33-M-02, Manual de Abreviaturas, Siglas, Simbolos e Convencoes
#        Cartograficas das Forcas Armadas, 3a Edicao/2008, Capitulo IV.
# Gerado por scripts/governanca/extrair_abreviaturas_md33.py — nao editar a mao.
# inicial_conjunto: MD33-M-02, 3.1.9 — abreviavel por essa inicial quando em conjunto.
# A abreviatura NAO e chave unica: 3.1.17 preve duplicidade de simbologia.
abreviatura,termo,sinonimos,termo_completo,inicial_conjunto,somente_conjunto,origem
QAA,Quadro Auxiliar da Armada,,Quadro Auxiliar da Armada,,,MD33-M-02
QAFN,Quadro Auxiliar de Fuzileiros Navais,,Quadro Auxiliar de Fuzileiros Navais,,,MD33-M-02
QAO,Quadro Auxiliar de Oficiais,,Quadro Auxiliar de Oficiais,,,MD33-M-02
QC,Quadro Complementar,,Quadro Complementar,,,MD33-M-02
QCO,Quadro Complementar de Oficiais,,Quadro Complementar de Oficiais,,,MD33-M-02
QC-CA,Quadro Complementar de Oficiais do Corpo da Armada,,Quadro Complementar de Oficiais do Corpo da Armada,,,MD33-M-02
QC-FN,Quadro Complementar de Oficiais Fuzileiros Navais,,Quadro Complementar de Oficiais Fuzileiros Navais,,,MD33-M-02
QC-IM,Quadro Complementar de Oficiais Intendentes da Marinha,,Quadro Complementar de Oficiais Intendentes da Marinha,,,MD33-M-02
QAA,Quadro de Acesso por Antiguidade,,Quadro de Acesso por Antiguidade,,,MD33-M-02
QAE,Quadro de Acesso por Escolha,,Quadro de Acesso por Escolha,,,MD33-M-02
QAM,Quadro de Acesso por Merecimento,,Quadro de Acesso por Merecimento,,,MD33-M-02
QAC,Quadro de Análise de Carga,,Quadro de Análise de Carga,,,MD33-M-02
QAS,Quadro de Apoio à Saúde,,Quadro de Apoio à Saúde,,,MD33-M-02
QCM,Quadro de Capelães da Marinha,,Quadro de Capelães da Marinha,,,MD33-M-02
QCD,Quadro de Cirurgiões-Dentistas,,Quadro de Cirurgiões-Dentistas,,,MD33-M-02
QDM,Quadro de Dotação de Material,,Quadro de Dotação de Material,,,MD33-M-02
QEC,Quadro de Embarque e Carregamento,,Quadro de Embarque e Carregamento,,,MD33-M-02
QEM,Quadro de Engenheiros Militares,,Quadro de Engenheiros Militares,,,MD33-M-02
QEMA,Quadro de Estado-Maior da Ativa,,Quadro de Estado-Maior da Ativa,,,MD33-M-02
QMB,Quadro de Material Bélico,,Quadro de Material Bélico,,,MD33-M-02
Q Med,Quadro de Médicos,,Quadro de Médicos,,,MD33-M-02
Q Mov,Quadro de Movimento,,Quadro de Movimento,,,MD33-M-02
QO-CA,Quadro de Oficiais do Corpo da Armada,,Quadro de Oficiais do Corpo da Armada,,,MD33-M-02
QOFN,Quadro de Oficiais Fuzileiros Navais,,Quadro de Oficiais Fuzileiros Navais,,,MD33-M-02
QOIM,Quadro de Oficiais Intendentes da Marinha,,Quadro de Oficiais Intendentes da Marinha,,,MD33-M-02
QOD,Quadro de Organização e Distribuição,,Quadro de Organização e Distribuição,,,MD33-M-02
QOE,Quadro de Organização e Equipamento,,Quadro de Organização e Equipamento,,,MD33-M-02
QP,Quadro de Pilotos,,Quadro de Pilotos,,,MD33-M-02
QRR,Quadro de Rede Rádio,,Quadro de Rede Rádio,,,MD33-M-02
QTQ,Quadro de Trabalho Quinzenal,,Quadro de Trabalho Quinzenal,,,MD33-M-02
QTS,Quadro de Trabalho Semanal,,Quadro de Trabalho Semanal,,,MD33-M-02
QT,Quadro de Tripulantes,,Quadro de Tripulantes,,,MD33-M-02
QGET,Quadro Geral de Embarque e Tonelagem,,Quadro Geral de Embarque e Tonelagem,,,MD33-M-02
QGPTU,Quadro Geral de Pessoal e Tonelagem de Unidade,,Quadro Geral de Pessoal e Tonelagem de Unidade,,,MD33-M-02
QGV,Quadro Geral de Viaturas,,Quadro Geral de Viaturas,,,MD33-M-02
QP,Quadro Pronto,,Quadro Pronto,,,MD33-M-02
QSPV,Quadro Sumário e Prioridade de Viaturas,,Quadro Sumário e Prioridade de Viaturas,,,MD33-M-02
QSG,Quadro Suplementar Geral,,Quadro Suplementar Geral,,,MD33-M-02
QSP,Quadro Suplementar Privativo,,Quadro Suplementar Privativo,,,MD33-M-02
QT,Quadro Técnico,,Quadro Técnico,,,MD33-M-02
Qld,Qualidade,,Qualidade,,,MD33-M-02
QMS,Qualificação Militar de Sargento,,Qualificação Militar de Sargento,,,MD33-M-02
QMG,Qualificação Militar Geral,,Qualificação Militar Geral,,,MD33-M-02
QMP,Qualificação Militar Particular,,Qualificação Militar Particular,,,MD33-M-02
Qual,Qualificação,Qualificar;Qualificado,"Qualificação, Qualificar, Qualificado (Q)",Q,,MD33-M-02
Qq,Qualquer,,Qualquer,,,MD33-M-02
QP,Quando Pronto,,Quando Pronto,,,MD33-M-02
QPA,Quantidade por Artigo,,Quantidade por Artigo,,,MD33-M-02
Qnt,Quantidade,Quantificar,"Quantidade, Quantificar",,,MD33-M-02
Qntv,Quantitativo,,Quantitativo,,,MD33-M-02
Qrt,Quarteirão,,Quarteirão,,,MD33-M-02
Q,Quartel,,Quartel,,sim,MD33-M-02
QG,Quartel-General,,Quartel-General,,,MD33-M-02
Q Av,Querosene de Aviação,,Querosene de Aviação,,,MD33-M-02
kg,Quilograma,,Quilograma,,,MD33-M-02
km,Quilômetro,,Quilômetro,,,MD33-M-02
KT,Quiloton (Kiloton),,Quiloton (Kiloton),,,MD33-M-02
Qmc,Químico,,Químico (Q),Q,,MD33-M-02
QBN,"Químico, Biológico e Nuclear",,"Químico, Biológico e Nuclear",,,MD33-M-02
QBR,"Químico, Biológico e Radiológico",,"Químico, Biológico e Radiológico",,,MD33-M-02
Quit,Quitar,Quitação,"Quitar, Quitação",,,MD33-M-02
Qt,Quota,,Quota,,,MD33-M-02
S,Ração Rç Ração Suplementar Rç,,Ração Rç Ração Suplementar Rç,,,MD33-M-02
R1,Ração tipo 1,,Ração tipo 1,,,MD33-M-02
R2,Ração tipo 2,,Ração tipo 2,,,MD33-M-02
R3,Ração tipo 3,,Ração tipo 3,,,MD33-M-02
R4,Ração tipo 4,,Ração tipo 4,,,MD33-M-02
Rac,Racionar,Racionalizar;Racionamento;Racional,"Racionar, Racionalizar, Racionamento, Racional",,,MD33-M-02
Rdr,Radar,,Radar (R),R,,MD33-M-02
SAR,Radar de Abertura Sintética (Synthetic Aperture Radar),,Radar de Abertura Sintética (Synthetic Aperture Radar),,,MD33-M-02
RAA,Radar de Alarme Aproximado,,Radar de Alarme Aproximado,,,MD33-M-02
RAL,Radar de Alarme Longínquo,,Radar de Alarme Longínquo,,,MD33-M-02
PAR,Radar de Aproximação de Precisão (Precision Aproach Radar),,Radar de Aproximação de Precisão (Precision Aproach Radar),,,MD33-M-02
RB,Radar de Busca,,Radar de Busca,,,MD33-M-02
RB Ae,Radar de Busca Aérea,,Radar de Busca Aérea,,,MD33-M-02
RB Spf,Radar de Busca de Superfície,,Radar de Busca de Superfície,,,MD33-M-02
Rdr C Bia,Radar de Contrabateria,,Radar de Contrabateria,,,MD33-M-02
RCI,Radar de Controle de Interceptação,,Radar de Controle de Interceptação,,,MD33-M-02
RCP,Radar de Controle de Projetores,,Radar de Controle de Projetores,,,MD33-M-02
RC Ter,Radar de Controle de Terra,,Radar de Controle de Terra,,,MD33-M-02
RC Tir,Radar de Controle de Tiro,,Radar de Controle de Tiro,,,MD33-M-02
RD Tir,Radar de Direção de Tiro,,Radar de Direção de Tiro,,,MD33-M-02
R Nav,Radar de Navegação,,Radar de Navegação,,,MD33-M-02
RRA,Radar de Rastreamento de Alvo,,Radar de Rastreamento de Alvo,,,MD33-M-02
RRM,Radar de Rastreamento de Míssil,,Radar de Rastreamento de Míssil,,,MD33-M-02
GCA,Radar de Solo de Controle de Aproximação (Ground Control Aproach),,Radar de Solo de Controle de Aproximação (Ground Control Aproach),,,MD33-M-02
R Vig,Radar de Vigilância,,Radar de Vigilância,,,MD33-M-02
ASR,Radar de Vigilância de Aeroporto (Airport Surveillance Radar),,Radar de Vigilância de Aeroporto (Airport Surveillance Radar),,,MD33-M-02
RVT,Radar de Vigilância Terrestre,,Radar de Vigilância Terrestre,,,MD33-M-02
R Far,Radar Farol,,Radar Farol,,,MD33-M-02
I,Radiação Rdç Radiação Inicial Rdç,,Radiação Rdç Radiação Inicial Rdç,,,MD33-M-02
RN,Radiação Nuclear,,Radiação Nuclear,,,MD33-M-02
Rdl,Radial,,Radial,,,MD33-M-02
Rad,Rádio,Radiograma,"Rádio (R), Radiograma (R)",R,,MD33-M-02
R Sil,Rádio em Silêncio,,Rádio em Silêncio,,,MD33-M-02
R Sil Abs,Radio em Silêncio Absoluto,,Radio em Silêncio Absoluto,,,MD33-M-02
RF,Rádio Farol,Radiofreqüência,"Rádio Farol, Radiofreqüência",,,MD33-M-02
R Liv,Rádio Livre,,Rádio Livre,,,MD33-M-02
R Rto,Rádio Restrito,,Rádio Restrito,,,MD33-M-02
Radtv,Radioativo,Radioatividade,"Radioativo, Radioatividade",,,MD33-M-02
NDB,Radiofarol não Direcional (Non Direction Beacon),,Radiofarol não Direcional (Non Direction Beacon),,,MD33-M-02
VOR,Radiofarol Onidirecional em VHF (VHF Omnidirectional Range),,Radiofarol Onidirecional em VHF (VHF Omnidirectional Range),,,MD33-M-02
ADF,Radiogoniômetro Automático (Automatic Direct Finder),,Radiogoniômetro Automático (Automatic Direct Finder),,,MD33-M-02
RAF,Radiogoniômetro de Alta Freqüência,,Radiogoniômetro de Alta Freqüência,,,MD33-M-02
Radg,Radiogoniômetro,Radiogoniometria,"Radiogoniômetro, Radiogoniometria",,,MD33-M-02
Rdf,Radiógrafo,,Radiógrafo,,,MD33-M-02
Rdlg,Radiológico,,Radiológico,,,MD33-M-02
Rdop,Radioperador,,Radioperador,,,MD33-M-02
Rdtlf,Radiotelefonia,,Radiotelefonia,,,MD33-M-02
RA,Raio de Ação,,Raio de Ação,,,MD33-M-02
RE,Raio de Esclarecimento,,Raio de Esclarecimento,,,MD33-M-02
RME,Raio Máximo de Esclarecimento,,Raio Máximo de Esclarecimento,,,MD33-M-02
RMEL,Raio Máximo de Esclarecimento em Leque,,Raio Máximo de Esclarecimento em Leque,,,MD33-M-02
RMERS,Raio Máximo de Esclarecimento Radial Simples,,Raio Máximo de Esclarecimento Radial Simples,,,MD33-M-02
Ran,Rancho,,Rancho,,,MD33-M-02
Rs,Rasante,,Rasante,,,MD33-M-02
Ratif,Ratificar,Ratificável,"Ratificar, Ratificável",,,MD33-M-02
R,Razão,,Razão,,sim,MD33-M-02
R Ctt,Razão de Contato,,Razão de Contato,,,MD33-M-02
TR,Razão de Curva (Turn Rate),,Razão de Curva (Turn Rate),,,MD33-M-02
RD,Razão de Descida,,Razão de Descida,,,MD33-M-02
RQ,Razão de Queda,,Razão de Queda,,,MD33-M-02
RRNPM,Razão de Remoção Não Programada do Motor,,Razão de Remoção Não Programada do Motor,,,MD33-M-02
RS,Razão de Subida,,Razão de Subida,,,MD33-M-02
Rabst,Reabastecer,Reabastecimento;Reabastecedor,"Reabastecer, Reabastecimento, Reabastecedor",,,MD33-M-02
Radp,Readaptar,Readaptação,"Readaptar, Readaptação",,,MD33-M-02
Rea,Reagir,Reação,"Reagir, Reação",,,MD33-M-02
Ragpt,Reagrupar,Reagrupamento,"Reagrupar, Reagrupamento",,,MD33-M-02
Ralmt,Realimentação,Realimentar;Realimentador,"Realimentação, Realimentar, Realimentador",,,MD33-M-02
Rlz,Realizar,Realização;Realizador,"Realizar, Realização, Realizador",,,MD33-M-02
Rapvt,Reaproveitar,Reaproveitamento,"Reaproveitar, Reaproveitamento",,,MD33-M-02
Raprv,Reaprovisionar,Reaprovisionamento,"Reaprovisionar, Reaprovisionamento",,,MD33-M-02
Ratv,Reativar,Reativação;Reativador,"Reativar, Reativação, Reativador",,,MD33-M-02
Ravl,Reavaliar,Reavaliação;Reavaliador,"Reavaliar, Reavaliação, Reavaliador",,,MD33-M-02
Rbl,Rebelar,Rebelde;Rebelião,"Rebelar, Rebelde, Rebelião",,,MD33-M-02
RAM,Rebocador de Alto Mar,,Rebocador de Alto Mar,,,MD33-M-02
Rb,Rebocador,Rebocar;Reboque,"Rebocador, Rebocar, Reboque",,,MD33-M-02
Rbj,Rebojo,,Rebojo,,,MD33-M-02
Rcb,Receber,Recibo;Recebimento;Recebedor,"Receber, Recibo, Recebimento, Recebedor",,,MD33-M-02
Recp,Recepção,Receptor,"Recepção, Receptor",,,MD33-M-02
Rcptv,Receptividade,Receptivo,"Receptividade, Receptivo",,,MD33-M-02
Reclm,Reclamar,Reclamação;Reclamatória,"Reclamar, Reclamação, Reclamatória",,,MD33-M-02
Rclas,Reclassificar,Reclassificação,"Reclassificar, Reclassificação",,,MD33-M-02
Rclh,Recolher,Recolhimento;Recolhedor,"Recolher, Recolhimento, Recolhedor",,,MD33-M-02
Recom,Recomendar,Recomendação;Recomendador;Recomendável,"Recomendar, Recomendação, Recomendador, Recomendável",,,MD33-M-02
Rcomp,Recompletamento,Recompletar,"Recompletamento, Recompletar",,,MD33-M-02
Rec,Reconhecer,Reconhecimento,"Reconhecer, Reconhecimento",,,MD33-M-02
Rec Anf,Reconhecimento Anfíbio,,Reconhecimento Anfíbio,,,MD33-M-02
Rec A,Reconhecimento Armado,,Reconhecimento Armado,,,MD33-M-02
Rec F,Reconhecimento em Força,,Reconhecimento em Força,,,MD33-M-02
RT,Reconhecimento Tático,,Reconhecimento Tático,,,MD33-M-02
RV,Reconhecimento Visual,,Reconhecimento Visual,,,MD33-M-02
REOP,"Reconhecimento, Escolha e Ocupação de Posição",,"Reconhecimento, Escolha e Ocupação de Posição",,,MD33-M-02
Rcnst,Reconstrução,Reconstruir;Reconstrutor,"Reconstrução, Reconstruir, Reconstrutor",,,MD33-M-02
Rcr,Recreação,Recrear;Recreador;Recreativo,"Recreação, Recrear, Recreador, Recreativo",,,MD33-M-02
Rcr,Recrutar,Recrutamento;Recruta,"Recrutar, Recrutamento, Recruta",,,MD33-M-02
Rcd,Recuado,,Recuado,,,MD33-M-02
Rcp,Recuperar,Recuperação,"Recuperar, Recuperação",,,MD33-M-02
Rcs,Recurso,,Recurso,,,MD33-M-02
R,Rede,,Rede,,sim,MD33-M-02
R Adm,Rede Administrativa,,Rede Administrativa,,,MD33-M-02
RACAM,Rede Administrativa de Comutação Automática de Mensagens,,Rede Administrativa de Comutação Automática de Mensagens,,,MD33-M-02
R Alm,Rede de Alarme,,Rede de Alarme,,,MD33-M-02
R Cmdo,Rede de Comando,,Rede de Comando,,,MD33-M-02
RCD,Rede de Comunicação de Dados,,Rede de Comunicação de Dados,,,MD33-M-02
R Com,Rede de Comunicações,,Rede de Comunicações,,,MD33-M-02
RCMM,Rede de Contramedidas de Minagem,,Rede de Contramedidas de Minagem,,,MD33-M-02
RCA,Rede de Controle Aéreo,,Rede de Controle Aéreo,,,MD33-M-02
RCHC,Rede de Controle de Helicópteros na Cobertura,,Rede de Controle de Helicópteros na Cobertura,,,MD33-M-02
RIC,Rede de Informações de Combate,,Rede de Informações de Combate,,,MD33-M-02
RICS,Rede de Informações de Combate Secundária,,Rede de Informações de Combate Secundária,,,MD33-M-02
RIS,Rede de Informações Sonar,,Rede de Informações Sonar,,,MD33-M-02
R Op,Rede de Operações,,Rede de Operações,,,MD33-M-02
R Ped Ae,Rede de Pedidos Aéreos,,Rede de Pedidos Aéreos,,,MD33-M-02
R Cmt,Rede do Comandante,,Rede do Comandante,,,MD33-M-02
RNP,Rede Nacional de Pesquisa,,Rede Nacional de Pesquisa,,,MD33-M-02
RNT,Rede Nacional de Telecomunicações,,Rede Nacional de Telecomunicações,,,MD33-M-02
RNIA,Rede Naval Interamericana,,Rede Naval Interamericana,,,MD33-M-02
RR ou R Rad,Rede Rádio,,Rede Rádio,,,MD33-M-02
RTC,Rede Tática de Cobertura,,Rede Tática de Cobertura,,,MD33-M-02
RTS,Rede Tática Secundária,,Rede Tática Secundária,,,MD33-M-02
Rdt,Reduto,,Reduto,,,MD33-M-02
Red,Reduzir,Redução;Redutor,"Reduzir, Redução, Redutor",,,MD33-M-02
Reed,Reeditar,Reedição,"Reeditar, Reedição",,,MD33-M-02
Ree,Reembolsar,Reembolsável;Reembolso,"Reembolsar, Reembolsável, Reembolso",,,MD33-M-02
Rengj,Reengajar,Reengajamento,"Reengajar, Reengajamento",,,MD33-M-02
Retta,Reestruturar,Reestruturação,"Reestruturar, Reestruturação",,,MD33-M-02
Reft,Refeitório,,Refeitório,,,MD33-M-02
R Msg Dto,Referência à Mensagem Direta,,Referência à Mensagem Direta,,,MD33-M-02
R Mis,Referência à Missão,,Referência à Missão,,,MD33-M-02
R Ord,Referência à Ordem,,Referência à Ordem,,,MD33-M-02
R Bol,Referência ao Boletim,,Referência ao Boletim,,,MD33-M-02
R Memo,Referência ao Memorando,,Referência ao Memorando,,,MD33-M-02
R Of,Referência ao Ofício,,Referência ao Ofício,,,MD33-M-02
R Rd,Referência ao Radiograma,,Referência ao Radiograma,,,MD33-M-02
Ref P,Referência de Posição,,Referência de Posição,,,MD33-M-02
RPG,Referência de Posição do Grupo,,Referência de Posição do Grupo,,,MD33-M-02
RMDO,Referência Mensagem Direta Oficial,,Referência Mensagem Direta Oficial,,,MD33-M-02
Rfr,Referência,Referente;Referir,"Referência, Referente, Referir (R)",R,,MD33-M-02
Ref,Reforçar,Reforço,"Reforçar, Reforço",,,MD33-M-02
Ref F,Reforço de Fogos,,Reforço de Fogos,,,MD33-M-02
Refm,Reformar,Reforma;Reformável,"Reformar, Reforma, Reformável",,,MD33-M-02
Rfg,Refrigeração,Refrigerar;Refrigerador;Refrigerante;Refrigério,"Refrigeração, Refrigerar, Refrigerador, Refrigerante, Refrigério",,,MD33-M-02
Refu,Refúgio,Refugiar,"Refúgio, Refugiar",,,MD33-M-02
RCEA,Região de Controle do Espaço Aéreo,,Região de Controle do Espaço Aéreo,,,MD33-M-02
RDA,Região de Defesa Aeroespacial,,Região de Defesa Aeroespacial,,,MD33-M-02
R Dstn,Região de Destino,,Região de Destino,,,MD33-M-02
R Hmz,Região de Homizio,,Região de Homizio,,,MD33-M-02
FIR,Região de Informações de Vôo (Flight Information Region),,Região de Informações de Vôo (Flight Information Region),,,MD33-M-02
RIPI,Região de Interesse para a Inteligência,,Região de Interesse para a Inteligência,,,MD33-M-02
RPP,Região de Procura de Posição,,Região de Procura de Posição,,,MD33-M-02
RM,Região Militar,,Região Militar,,,MD33-M-02
SRR,Região ou Área de Busca e Salvamento (Search and Rescue Region),,Região ou Área de Busca e Salvamento (Search and Rescue Region),,,MD33-M-02
Rg,Região,Regional;Regionalizar,"Região, Regional (R), Regionalizar",R,,MD33-M-02
Rgm,Regime,,Regime,,,MD33-M-02
Rgt,Regimento,,Regimento (R),R,,MD33-M-02
RCC,Regimento de Carros de Combate,,Regimento de Carros de Combate,,,MD33-M-02
RC,Regimento de Cavalaria,,Regimento de Cavalaria,,,MD33-M-02
RCB,Regimento de Cavalaria Blindado,,Regimento de Cavalaria Blindado,,,MD33-M-02
RCG,Regimento de Cavalaria de Guarda,,Regimento de Cavalaria de Guarda,,,MD33-M-02
RC Mec,Regimento de Cavalaria Mecanizado,,Regimento de Cavalaria Mecanizado,,,MD33-M-02
REI,Regimento Escola de Infantaria,,Regimento Escola de Infantaria,,,MD33-M-02
Reg,Registrar,Registro;Registrador,"Registrar, Registro, Registrador (R)",R,,MD33-M-02
RAB,Registro Aeronáutico Brasileiro,,Registro Aeronáutico Brasileiro,,,MD33-M-02
R Alist,Registro de Alistamento,,Registro de Alistamento,,,MD33-M-02
RE,Regras de Engajamento,,Regras de Engajamento,,,MD33-M-02
ROE,Regras de Engajamento (Rules of Engagement),,Regras de Engajamento (Rules of Engagement),,,MD33-M-02
IFR,Regras de Vôo por Instrumento (Instrument Flight Rules),,Regras de Vôo por Instrumento (Instrument Flight Rules),,,MD33-M-02
VFR,Regras de Vôo Visual (Visual Flight Rules),,Regras de Vôo Visual (Visual Flight Rules),,,MD33-M-02
Regrs,Regressar,Regresso,"Regressar, Regresso",,,MD33-M-02
R,Régua,,Régua,,sim,MD33-M-02
R Crpt Mult,Régua Criptográfica Múltipla,,Régua Criptográfica Múltipla,,,MD33-M-02
R Crpt S,Régua Criptográfica Simples,,Régua Criptográfica Simples,,,MD33-M-02
RS,Régua de Sítio,,Régua de Sítio,,,MD33-M-02
RT,Régua de Tiro,,Régua de Tiro,,,MD33-M-02
RBHA,Regulamento Brasileiro de Homologação Aeronáutica,,Regulamento Brasileiro de Homologação Aeronáutica,,,MD33-M-02
RLPSA,Regulamento da Lei de Prestação do Serviço Alternativo,,Regulamento da Lei de Prestação do Serviço Alternativo,,,MD33-M-02
RLSM,Regulamento da Lei do Serviço Militar,,Regulamento da Lei do Serviço Militar,,,MD33-M-02
RPPM,Regulamento de Promoções de Praças da Marinha,,Regulamento de Promoções de Praças da Marinha,,,MD33-M-02
Regul,Regulamento,Regulamentar,"Regulamento, Regulamentar",,,MD33-M-02
Regl,Regular,Regulador;Regulação;Regulagem,"Regular, Regulador, Regulação, Regulagem (R)",R,,MD33-M-02
Rincl,Reincluir,Reinclusão,"Reincluir, Reinclusão",,,MD33-M-02
Reit,Reiteração,Reiterar,"Reiteração, Reiterar",,,MD33-M-02
REA,Relação de Estoque Autorizado,,Relação de Estoque Autorizado,,,MD33-M-02
REP,Relação de Estoque Prescrito,,Relação de Estoque Prescrito,,,MD33-M-02
Rel,Relacionar,Relação;Relatório;Relativo;Relatar;Relator,"Relacionar, Relação, Relatório, Relativo, Relatar, Relator",,,MD33-M-02
RP,Relações Públicas,,Relações Públicas,,,MD33-M-02
RH,Relações/Recursos Humanos,,Relações/Recursos Humanos,,,MD33-M-02
Rlpg,Relâmpago,,Relâmpago,,,MD33-M-02
CSARIR,Relatório de Incidente CSAR (CSAR Incident Report),,Relatório de Incidente CSAR (CSAR Incident Report),,,MD33-M-02
RIAM,Relatório de Inspeção Anual de Manutenção,,Relatório de Inspeção Anual de Manutenção,,,MD33-M-02
RIT,Relatório de Inspeção de Tipo,,Relatório de Inspeção de Tipo,,,MD33-M-02
Rel E Intlg,Relatório Especial de Inteligência,,Relatório Especial de Inteligência,,,MD33-M-02
RPI,Relatório Periódico de Inteligência,,Relatório Periódico de Inteligência,,,MD33-M-02
RPP,Relatório Periódico de Pessoal,,Relatório Periódico de Pessoal,,,MD33-M-02
Rel Perd M,Relatório Periódico Mensal,,Relatório Periódico Mensal,,,MD33-M-02
R Rlpg,Relatório Relâmpago,,Relatório Relâmpago,,,MD33-M-02
RSI,Relatório Suplementar de Inteligência,,Relatório Suplementar de Inteligência,,,MD33-M-02
Rlg,Religioso,Religião,"Religioso, Religião",,,MD33-M-02
Rloc,Relocação,Relocar,"Relocação, Relocar",,,MD33-M-02
Remnj,Remanejar,Remanejamento;Remanejável,"Remanejar, Remanejamento, Remanejável",,,MD33-M-02
Rmsc,Remanescente,,Remanescente,,,MD33-M-02
Rem,Remeter,Remessa;Remetente,"Remeter, Remessa, Remetente",,,MD33-M-02
Rmont,Remontar,Remonta,"Remontar, Remonta",,,MD33-M-02
Rmto,Remoto,,Remoto,,,MD33-M-02
Remo,Remover,Remoção;Removível;Removedor,"Remover, Remoção, Removível, Removedor",,,MD33-M-02
Remun,Remunerar,Remuneração,"Remunerar, Remuneração",,,MD33-M-02
Remn,Remuniciamento,Remuniciar;Remuniciador,"Remuniciamento, Remuniciar, Remuniciador",,,MD33-M-02
Rend,Rendimento,,Rendimento,,,MD33-M-02
Rend B,Rendimento Bruto,,Rendimento Bruto,,,MD33-M-02
Rend H,Rendimento Horário,,Rendimento Horário,,,MD33-M-02
RL,Rendimento Líquido,,Rendimento Líquido,,,MD33-M-02
R Ut,Rendimento Útil,,Rendimento Útil,,,MD33-M-02
Rengj,Rengajamento,Reengajar;Reorganizador,"Rengajamento, Reengajar, Reorganizador",,,MD33-M-02
Reo,Reorganizar,Reorganização,"Reorganizar, Reorganização",,,MD33-M-02
Rep,Reparação,Reparo;Reparador;Reparável,"Reparação, Reparo, Reparador, Reparável",,,MD33-M-02
Rps,Repasse,Repassar,"Repasse, Repassar",,,MD33-M-02
RTM,Repetidor de Transmissão Múltipla,,Repetidor de Transmissão Múltipla,,,MD33-M-02
R Alc,Repetir Alcance,,Repetir Alcance,,,MD33-M-02
R Dir,Repetir Direção,,Repetir Direção,,,MD33-M-02
Rpt,Repetir,Repetição;Repetidor;Repetente,"Repetir, Repetição, Repetidor (R), Repetente",R,,MD33-M-02
Repo,Reposição,Reposicionar;Repor,"Reposição, Reposicionar, Repor",,,MD33-M-02
Rpo,Repouso,Repousar;Repousante,"Repouso, Repousar, Repousante",,,MD33-M-02
RCE,Representante Credenciado em Engenharia,,Representante Credenciado em Engenharia,,,MD33-M-02
RCF,Representante Credenciado em Fabricação,,Representante Credenciado em Fabricação,,,MD33-M-02
Repr,Representar,Representação;Representante,"Representar, Representação, Representante",,,MD33-M-02
Rprs,Repressão,Repressiva;Repressor,"Repressão, Repressiva, Repressor",,,MD33-M-02
Rpr,Reprodução,Reprodutor;Reproduzir,"Reprodução, Reprodutor, Reproduzir",,,MD33-M-02
Req,Requerer,Requerimento;Requerente,"Requerer, Requerimento, Requerente",,,MD33-M-02
ACMR,Requisição de Acionamento de Meio de Coordenação do Espaço Aéreo (Airspace Control Means Request),,Requisição de Acionamento de Meio de Coordenação do Espaço Aéreo (Airspace Control Means Request),,,MD33-M-02
Reqs,Requisitar,Requisição;Reqisitante,"Requisitar, Requisição, Reqisitante",,,MD33-M-02
RBIA,Requisitos Brasileiros para a Indústria Aeronáutica,,Requisitos Brasileiros para a Indústria Aeronáutica,,,MD33-M-02
RBHPAEM,Requisitos Brasileiros para Homologação de Produtos Aeroespaciais de Emprego Militar,,Requisitos Brasileiros para Homologação de Produtos Aeroespaciais de Emprego Militar,,,MD33-M-02
RANS,Requisitos de Alto Nível dos Sistemas,,Requisitos de Alto Nível dos Sistemas,,,MD33-M-02
REM,Requisitos de Estado-Maior,,Requisitos de Estado-Maior,,,MD33-M-02
ROB,Requisitos Operacionais Básicos,,Requisitos Operacionais Básicos,,,MD33-M-02
ROP,Requisitos Operacionais Preliminares,,Requisitos Operacionais Preliminares,,,MD33-M-02
RTLIB,"Requisitos Técnicos, Logísticos e Industriais Básicos",,"Requisitos Técnicos, Logísticos e Industriais Básicos",,,MD33-M-02
RTLIP,"Requisitos Técnicos, Logísticos e Industriais Preliminares",,"Requisitos Técnicos, Logísticos e Industriais Preliminares",,,MD33-M-02
RM,Reserva da Marinha,,Reserva da Marinha,,,MD33-M-02
RSA,Reserva do Serviço Alternativo,,Reserva do Serviço Alternativo,,,MD33-M-02
RN,Reserva Naval ou Reservista Naval,,Reserva Naval ou Reservista Naval,,,MD33-M-02
Res,Reservar,Reserva;Reservista,"Reservar, Reserva, Reservista",,,MD33-M-02
Rev,Reservista em Situação Especial,,Reservista em Situação Especial,,,MD33-M-02
Rsg,Resgatar,Resgate,"Resgatar, Resgate",,,MD33-M-02
Rsd,Residir,Residência;Residente;Residencial,"Residir, Residência, Residente, Residencial",,,MD33-M-02
Resd,Residual,Resíduo,"Residual, Resíduo",,,MD33-M-02
Rst,Resistência,Resistor;Resistir,"Resistência, Resistor (R), Resistir",R,,MD33-M-02
Rsol,Resolver,Resolução,"Resolver, Resolução",,,MD33-M-02
Rsp,Responder,Resposta,"Responder, Resposta",,,MD33-M-02
Rspnl,Responsabilidade,Responsável;Responsabilizar,"Responsabilidade, Responsável (R), Responsabilizar",R,,MD33-M-02
Resup Ae,Ressuprimento Aéreo,,Ressuprimento Aéreo,,,MD33-M-02
