# Dicionario de Abreviaturas — IR 14-06, Art. 32 a 35
# Fonte: MD33-M-02, Manual de Abreviaturas, Siglas, Simbolos e Convencoes
#        Cartograficas das Forcas Armadas, 3a Edicao/2008, Capitulo IV.
# Gerado por scripts/governanca/extrair_abreviaturas_md33.py — nao editar a mao.
# inicial_conjunto: MD33-M-02, 3.1.9 — abreviavel por essa inicial quando em conjunto.
# A abreviatura NAO e chave unica: 3.1.17 preve duplicidade de simbologia.
abreviatura,termo,sinonimos,termo_completo,inicial_conjunto,somente_conjunto,origem
Ap T,Apoio por Tarefa,,Apoio por Tarefa,,,MD33-M-02
Ap,Apoio,Apoiar;Apoiado Apoiante;Apoiador,"Apoio, Apoiar, Apoiado (A) Apoiante, Apoiador",A,,MD33-M-02
Apt,Apontar,Apontável;Apontador,"Apontar, Apontável, Apontador",,,MD33-M-02
AIDP,Após iniciado o deslocamento a pé,,Após iniciado o deslocamento a pé,,,MD33-M-02
AIDM,Após iniciado o deslocamento motorizado,,Após iniciado o deslocamento motorizado,,,MD33-M-02
Apst,Aposentar,Aposentador;Aposentadoria,"Aposentar, Aposentador, Aposentadoria",,,MD33-M-02
Aps,Apossar-se,,Apossar-se,,,MD33-M-02
Aptl,Apostila,Apostilado;Apostilar,"Apostila, Apostilado, Apostilar",,,MD33-M-02
Aprec,Apreciação,Apreciar;Apreciador;Apreciável,"Apreciação, Apreciar, Apreciador, Apreciável",,,MD33-M-02
Apre,Apreender,Apreensão;Apreensível;Apreendedor,"Apreender, Apreensão, Apreensível, Apreendedor",,,MD33-M-02
AM,Aprendiz-Marinheiro,,Aprendiz-Marinheiro,,,MD33-M-02
Apres,Apresentação,Apresentar;Apresentável;Apresentador,"Apresentação, Apresentar, Apresentável, Apresentador",,,MD33-M-02
Apr,Aprestamento,Aprestar;Aprestável;Aprestador,"Aprestamento, Aprestar, Aprestável, Aprestador",,,MD33-M-02
Aprf,Aprofundamento,Aprofundar;Aprrofundável;Aprofundador,"Aprofundamento, Aprofundar, Aprrofundável, Aprofundador",,,MD33-M-02
Aprn,Apronto,Aprontar,"Apronto, Aprontar",,,MD33-M-02
Aprp,Apropriação,Apropriar;Apropriador,"Apropriação, Apropriar, Apropriador",,,MD33-M-02
Aprov,Aprovação,Aprovar;Aprovável;Aprovador,"Aprovação, Aprovar, Aprovável, Aprovador",,,MD33-M-02
Apvt,Aproveitamento,Aproveitar;Aprovetitável;Aproveitador,"Aproveitamento, Aproveitar, Aprovetitável, Aproveitador",,,MD33-M-02
Aprv,Aprovisionamento,Aprovisionador;Aprovisionar,"Aprovisionamento, Aprovisionador, Aprovisionar",,,MD33-M-02
GCA,Aproximação Controlada do Solo ou de Terra (Ground Control Approach),,Aproximação Controlada do Solo ou de Terra (Ground Control Approach),,,MD33-M-02
Aprx,Aproximar,Aproximação,"Aproximar, Aproximação (A)",A,,MD33-M-02
Aptd,Aptidão,,Aptidão,,,MD33-M-02
Apur,Apurar,Apuração;Apurador,"Apurar, Apuração, Apurador",,,MD33-M-02
Aq,Aquático,,Aquático,,,MD33-M-02
Aqs,Aquisição,,Aquisição,,,MD33-M-02
A/A,Ar/Ar,,Ar/Ar,,,MD33-M-02
A/S,Ar/Superfície,,Ar/Superfície,,,MD33-M-02
Arb,Arbitrar,Arbitragem;Árbitro;Arbitral,"Arbitrar, Arbitragem, Árbitro, Arbitral",,,MD33-M-02
A,Área,,Área,,sim,MD33-M-02
AaP,Área a proteger,,Área a proteger,,,MD33-M-02
A Ap F,Área de Apoio de Fogo,,Área de Apoio de Fogo,,,MD33-M-02
A Ap P,Área de Apoio de Praia,,Área de Apoio de Praia,,,MD33-M-02
A Ap Sv Cmb,Área de Apoio de Serviços ao Combate,,Área de Apoio de Serviços ao Combate,,,MD33-M-02
A Ap Z Dbq,Área de Apoio de Zona de Desembarque,,Área de Apoio de Zona de Desembarque,,,MD33-M-02
A Cmb,Área de Combate,,Área de Combate,,,MD33-M-02
